"연령별","체류자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"계","관광취업","여자","","962","1038","1094","1259","1545","1989",
"계","방문취업","계","","68653","90733","65082","47842","52458","52712",
"계","방문취업","남자","","37845","49363","35082","26162","29365","30400",
"계","방문취업","여자","","30808","41370","30000","21680","23093","22312",
"계","관광상륙","계","","57","106","145","323","72","19",
"계","관광상륙","남자","","33","55","75","176","40","16",
"계","관광상륙","여자","","24","51","70","147","32","3",
"0세","총계","계","","4104","4074","4172","3732","3626","3644",
"0세","총계","남자","","2181","2090","2143","1954","1891","1909",
"0세","총계","여자","","1923","1984","2029","1778","1735","1735",
"0세","공무","계","","4","8","7","10","15","12",
"0세","공무","남자","","3","2","5","8","8","7",
"0세","공무","여자","","1","6","2","2","7","5",
"0세","사증면제","계","","202","271","271","253","291","295",
"0세","사증면제","남자","","107","150","130","140","158","148",
"0세","사증면제","여자","","95","121","141","113","133","147",
"0세","관광통과","계","","2565","2454","2291","1944","1848","1931",
"0세","관광통과","남자","","1381","1271","1215","1006","960","1028",
"0세","관광통과","여자","","1184","1183","1076","938","888","903",
"0세","단기방문","계","","836","750","957","844","737","646",
"0세","단기방문","남자","","427","380","478","442","404","327",
"0세","단기방문","여자","","409","370","479","402","333","319",
"0세","방문동거","계","","106","156","176","261","355","363",
"0세","방문동거","남자","","60","75","90","136","172","181",
"0세","방문동거","여자","","46","81","86","125","183","182",
"0세","거주","계","","36","30","26","32","33","31",
"0세","거주","남자","","15","16","14","19","23","16",
"0세","거주","여자","","21","14","12","13","10","15",
"0세","동반","계","","311","358","377","338","281","327",
"0세","동반","남자","","170","173","174","176","133","180",
"0세","동반","여자","","141","185","203","162","148","147",
"0세","재외동포","계","","8","9","8","13","8","5",
"0세","재외동포","남자","","2","5","3","9","3","2",
"0세","재외동포","여자","","6","4","5","4","5","3",
"0세","영주","계","","35","37","58","35","56","33",
"0세","영주","남자","","16","17","34","16","29","19",
"0세","영주","여자","","19","20","24","19","27","14",
"0세","결혼이민","계","","","1","","","","",
"0세","결혼이민","남자","","","1","","","","",
"0세","결혼이민","여자","","","0","","","","",
"0세","기타","계","","1","","1","2","2","1",
"0세","기타","남자","","0","","0","2","1","1",
"0세","기타","여자","","1","","1","0","1","0",
"1세","총계","계","","2713","2967","2912","2879","2774","3048",
