"전출지별","전입지별","성별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"전국","서울특별시","계","60 - 64세","순이동자수","명","-7525","-7401","-11408","-12215","-10995","-11790",
"전국","서울특별시","계","65 - 69세","이동자수","명","34478","38294","40902","40068","38386","38561",
"전국","서울특별시","계","65 - 69세","순이동자수","명","-5589","-5743","-8460","-8717","-7751","-7918",
"전국","서울특별시","계","70 - 74세","이동자수","명","26951","28643","29741","28396","27016","27036",
"전국","서울특별시","계","70 - 74세","순이동자수","명","-3837","-4180","-6021","-5749","-5294","-5461",
"전국","서울특별시","계","75 - 79세","이동자수","명","17849","19267","20728","20271","20337","20763",
"전국","서울특별시","계","75 - 79세","순이동자수","명","-2318","-2298","-3267","-3479","-3484","-3999",
"전국","서울특별시","계","80세이상","이동자수","명","20707","22130","23693","23420","22995","23805",
"전국","서울특별시","계","80세이상","순이동자수","명","-1487","-1626","-2519","-2920","-2926","-3771",
"전국","부산광역시","계","계","이동자수","명","478451","485710","507031","459015","439073","416095",
"전국","부산광역시","계","계","순이동자수","명","-17710","-15092","-13560","-21392","-28398","-26759",
"전국","부산광역시","계","0 - 4세","이동자수","명","28284","26334","27764","23435","21080","19640",
"전국","부산광역시","계","0 - 4세","순이동자수","명","244","-11","418","-380","-1444","-705",
"전국","부산광역시","계","5 - 9세","이동자수","명","21439","19819","20473","17652","16614","16421",
"전국","부산광역시","계","5 - 9세","순이동자수","명","339","283","626","-108","-970","-213",
"전국","부산광역시","계","10 - 14세","이동자수","명","20130","18516","17752","14090","12133","11980",
"전국","부산광역시","계","10 - 14세","순이동자수","명","288","407","341","-184","-621","-331",
"전국","부산광역시","계","15 - 19세","이동자수","명","26643","26565","26628","22948","20547","18516",
"전국","부산광역시","계","15 - 19세","순이동자수","명","16","161","196","-322","-480","-99",
"전국","부산광역시","계","20 - 24세","이동자수","명","37494","40475","44002","42013","41137","39933",
"전국","부산광역시","계","20 - 24세","순이동자수","명","-829","-746","-305","-921","-834","-234",
"전국","부산광역시","계","25 - 29세","이동자수","명","47258","47714","50023","48553","50571","49802",
"전국","부산광역시","계","25 - 29세","순이동자수","명","-6039","-5428","-4571","-4930","-4808","-6518",
"전국","부산광역시","계","30 - 34세","이동자수","명","64414","63426","61726","53532","49046","43540",
"전국","부산광역시","계","30 - 34세","순이동자수","명","-3842","-2613","-2285","-2669","-3863","-4154",
"전국","부산광역시","계","35 - 39세","이동자수","명","45654","45152","48111","44297","43847","41711",
"전국","부산광역시","계","35 - 39세","순이동자수","명","-706","-244","-497","-1332","-2806","-2706",
"전국","부산광역시","계","40 - 44세","이동자수","명","40903","40929","41720","35108","32449","29937",
"전국","부산광역시","계","40 - 44세","순이동자수","명","-233","-17","-89","-824","-1578","-1513",
"전국","부산광역시","계","45 - 49세","이동자수","명","33016","35529","37700","34507","32766","30945",
"전국","부산광역시","계","45 - 49세","순이동자수","명","-993","-588","-394","-871","-1592","-1703",
"전국","부산광역시","계","50 - 54세","이동자수","명","33524","34113","35217","29940","27866","26018",
"전국","부산광역시","계","50 - 54세","순이동자수","명","-1558","-1523","-1451","-1660","-1960","-1729",
"전국","부산광역시","계","55 - 59세","이동자수","명","25749","28722","31855","30079","28208","26658",
"전국","부산광역시","계","55 - 59세","순이동자수","명","-1847","-1923","-2216","-2491","-2756","-2292",
"전국","부산광역시","계","60 - 64세","이동자수","명","17785","19452","22211","22135","21958","21295",
"전국","부산광역시","계","60 - 64세","순이동자수","명","-1391","-1379","-1620","-2111","-2299","-2104",
"전국","부산광역시","계","65 - 69세","이동자수","명","12309","13395","14602","14474","14324","13881",
"전국","부산광역시","계","65 - 69세","순이동자수","명","-668","-829","-1008","-1325","-1289","-1264",
"전국","부산광역시","계","70 - 74세","이동자수","명","10117","10635","10998","9980","9922","9472",
"전국","부산광역시","계","70 - 74세","순이동자수","명","-452","-448","-529","-763","-611","-479",
"전국","부산광역시","계","75 - 79세","이동자수","명","6667","7336","7858","7630","7913","7553",
"전국","부산광역시","계","75 - 79세","순이동자수","명","-217","-224","-177","-440","-387","-557",
"전국","부산광역시","계","80세이상","이동자수","명","7065","7598","8391","8642","8692","8793",
"전국","부산광역시","계","80세이상","순이동자수","명","178","30","1","-61","-100","-158",
"전국","대구광역시","계","계","이동자수","명","351873","350213","351424","328228","321182","321158",
"전국","대구광역시","계","계","순이동자수","명","-11351","-15526","-12940","-9260","-11936","-14242",
"전국","대구광역시","계","0 - 4세","이동자수","명","21095","19889","19662","20262","18297","16353",
"전국","대구광역시","계","0 - 4세","순이동자수","명","596","350","471","842","596","537",
"전국","대구광역시","계","5 - 9세","이동자수","명","16780","15747","15002","14881","13996","13259",
"전국","대구광역시","계","5 - 9세","순이동자수","명","541","227","356","436","313","33",
"전국","대구광역시","계","10 - 14세","이동자수","명","17954","16527","14475","12430","11204","10876",
"전국","대구광역시","계","10 - 14세","순이동자수","명","168","246","82","259","165","-210",
"전국","대구광역시","계","15 - 19세","이동자수","명","21345","20082","19744","16718","15922","14830",
"전국","대구광역시","계","15 - 19세","순이동자수","명","-1163","-1185","-1169","-1014","-1061","-1314",
"전국","대구광역시","계","20 - 24세","이동자수","명","24492","26303","28341","26878","27402","27696",
"전국","대구광역시","계","20 - 24세","순이동자수","명","-3122","-3095","-2836","-2177","-2393","-2641",
"전국","대구광역시","계","25 - 29세","이동자수","명","32807","32556","34217","32964","34817","37199",
"전국","대구광역시","계","25 - 29세","순이동자수","명","-3892","-4056","-3215","-2636","-2594","-3399",
"전국","대구광역시","계","30 - 34세","이동자수","명","45359","43460","41507","39254","35567","33241",
"전국","대구광역시","계","30 - 34세","순이동자수","명","-1019","-1620","-906","-448","-684","-414",
"전국","대구광역시","계","35 - 39세","이동자수","명","34432","33350","33228","33471","33035","32145",
"전국","대구광역시","계","35 - 39세","순이동자수","명","220","-293","45","-30","-45","-193",
"전국","대구광역시","계","40 - 44세","이동자수","명","33236","32387","31067","27924","26108","24701",
"전국","대구광역시","계","40 - 44세","순이동자수","명","-28","-391","-264","-76","-302","-622",
"전국","대구광역시","계","45 - 49세","이동자수","명","26657","27755","28088","25635","25389","25248",
"전국","대구광역시","계","45 - 49세","순이동자수","명","-510","-1281","-1007","-756","-993","-1192",
"전국","대구광역시","계","50 - 54세","이동자수","명","23693","24639","24861","21266","20997","21555",
"전국","대구광역시","계","50 - 54세","순이동자수","명","-1410","-1579","-1451","-1119","-1386","-1470",
"전국","대구광역시","계","55 - 59세","이동자수","명","17104","18377","20240","18599","19246","20248",
"전국","대구광역시","계","55 - 59세","순이동자수","명","-862","-1323","-1179","-1300","-1617","-1453",
"전국","대구광역시","계","60 - 64세","이동자수","명","11842","12642","13860","13631","13901","14986",
"전국","대구광역시","계","60 - 64세","순이동자수","명","-658","-727","-1025","-761","-1100","-1055",
"전국","대구광역시","계","65 - 69세","이동자수","명","7983","8541","8985","8439","8792","9860",
"전국","대구광역시","계","65 - 69세","순이동자수","명","-257","-377","-515","-377","-660","-545",
"전국","대구광역시","계","70 - 74세","이동자수","명","6917","7150","6939","5653","5850","6389",
"전국","대구광역시","계","70 - 74세","순이동자수","명","-76","-229","-208","-192","-138","-260",
"전국","대구광역시","계","75 - 79세","이동자수","명","4954","5232","5337","4550","4832","5688",
"전국","대구광역시","계","75 - 79세","순이동자수","명","48","-122","-133","-70","-86","-96",
"전국","대구광역시","계","80세이상","이동자수","명","5223","5576","5871","5673","5827","6884",
"전국","대구광역시","계","80세이상","순이동자수","명","73","-71","14","159","49","52",
"전국","인천광역시","계","계","이동자수","명","461613","452297","473223","441646","409465","433639",
