"연령별",2013. 08,2013. 08,2013. 08,2013. 08,2013. 08,2015. 08,2015. 08,2015. 08,2015. 08,2015. 08,2017. 08,2017. 08,2017. 08,2017. 08,2017. 08,2018. 08,2018. 08,2018. 08,2018. 08,2018. 08
"연령별",비임금근로자,- 자영업자,- 고용원이 있는 자영업자,- 고용원이 없는 자영업자,- 무급가족종사자,비임금근로자,- 자영업자,- 고용원이 있는 자영업자,- 고용원이 없는 자영업자,- 무급가족종사자,비임금근로자,- 자영업자,- 고용원이 있는 자영업자,- 고용원이 없는 자영업자,- 무급가족종사자,비임금근로자,- 자영업자,- 고용원이 있는 자영업자,- 고용원이 없는 자영업자,- 무급가족종사자
"계",7110,5797,1526,4271,1313,6894,5678,1624,4055,1216,6898,5733,1580,4153,1165,6862,5681,1651,4030,1181
"15~29세",262,165,29,136,97,247,160,39,121,87,219,147,32,114,72,239,167,33,134,72
"30~39세",964,815,299,516,150,880,762,288,474,118,852,739,257,482,113,810,697,269,428,113
"40~49세",1837,1525,567,958,313,1802,1524,583,941,277,1745,1499,538,961,246,1661,1447,550,897,214
"50~59세",2207,1817,486,1332,390,2125,1756,535,1221,369,2111,1756,532,1224,354,2073,1702,526,1176,370
"60세이상",1840,1476,146,1330,364,1842,1477,179,1298,365,1972,1592,221,1371,380,2079,1668,273,1395,411
