"행정구역별","각세별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"전국","11세","순이동","","0","0","0","0","0","0",
"전국","11세","시군구간전입","","16751","15418","15141","12950","11950","12793",
"전국","11세","시군구간전출","","16751","15418","15141","12950","11950","12793",
"전국","11세","시도간전입","","15116","13947","14527","12089","11226","11431",
"전국","11세","시도간전출","","15116","13947","14527","12089","11226","11431",
"전국","12세","총전입","","89167","78907","73837","67494","60359","59266",
"전국","12세","총전출","","89167","78907","73837","67494","60359","59266",
"전국","12세","순이동","","0","0","0","0","0","0",
"전국","12세","시군구간전입","","24243","21075","19620","17894","16287","15855",
"전국","12세","시군구간전출","","24243","21075","19620","17894","16287","15855",
"전국","12세","시도간전입","","19595","17693","16721","15091","13515","13420",
"전국","12세","시도간전출","","19595","17693","16721","15091","13515","13420",
"전국","13세","총전입","","66614","64282","56504","48057","45771","43267",
"전국","13세","총전출","","66614","64282","56504","48057","45771","43267",
"전국","13세","순이동","","0","0","0","0","0","0",
"전국","13세","시군구간전입","","17296","16200","13762","11995","11407","11053",
"전국","13세","시군구간전출","","17296","16200","13762","11995","11407","11053",
"전국","13세","시도간전입","","15327","15194","13604","11338","11061","10255",
"전국","13세","시도간전출","","15327","15194","13604","11338","11061","10255",
"전국","14세","총전입","","68071","68156","64765","51021","45395","45807",
"전국","14세","총전출","","68071","68156","64765","51021","45395","45807",
"전국","14세","순이동","","0","0","0","0","0","0",
"전국","14세","시군구간전입","","17647","17545","16207","12733","11600","11731",
"전국","14세","시군구간전출","","17647","17545","16207","12733","11600","11731",
"전국","14세","시도간전입","","15418","15391","14886","11754","10609","10456",
"전국","14세","시도간전출","","15418","15391","14886","11754","10609","10456",
"전국","15세","총전입","","83028","79885","79969","70242","59641","54990",
"전국","15세","총전출","","83028","79885","79969","70242","59641","54990",
"전국","15세","순이동","","0","0","0","0","0","0",
"전국","15세","시군구간전입","","23509","22119","21549","19265","16389","14848",
"전국","15세","시군구간전출","","23509","22119","21549","19265","16389","14848",
"전국","15세","시도간전입","","19407","19167","19341","17229","15192","13980",
"전국","15세","시도간전출","","19407","19167","19341","17229","15192","13980",
"전국","16세","총전입","","70795","69078","66723","61928","56405","49217",
"전국","16세","총전출","","70795","69078","66723","61928","56405","49217",
"전국","16세","순이동","","0","0","0","0","0","0",
"전국","16세","시군구간전입","","18917","18069","17219","15863","14902","12951",
"전국","16세","시군구간전출","","18917","18069","17219","15863","14902","12951",
"전국","16세","시도간전입","","15019","14664","14441","13337","12623","10950",
"전국","16세","시도간전출","","15019","14664","14441","13337","12623","10950",
"전국","17세","총전입","","69391","65980","64902","57111","54753","52183",
"전국","17세","총전출","","69391","65980","64902","57111","54753","52183",
"전국","17세","순이동","","0","0","0","0","0","0",
"전국","17세","시군구간전입","","18011","17037","16078","14243","14060","13462",
"전국","17세","시군구간전출","","18011","17037","16078","14243","14060","13462",
"전국","17세","시도간전입","","14257","13189","13316","11892","11551","11140",
"전국","17세","시도간전출","","14257","13189","13316","11892","11551","11140",
"전국","18세","총전입","","101625","101973","99344","90321","86499","86319",
"전국","18세","총전출","","101625","101973","99344","90321","86499","86319",
"전국","18세","순이동","","0","0","0","0","0","0",
"전국","18세","시군구간전입","","26870","26464","25603","23077","22524","22239",
