"특성별(1)",특성별(2),2012,2012,2012,2012,2012,2012,2014,2014,2014,2014,2014,2014,2014,2014,2016,2016,2016,2016,2016,2016,2016,2016,2016
"특성별(1)",특성별(2),사례수 (개),1년 미만 (%),1~2년 미만 (%),2~3년 미만 (%),3년 이상 (%),해당 없음(아직 도달하지 못함) (%),사례수 (개),1년 미만 (%),1~2년 미만 (%),2~3년 미만 (%),3~5년 미만 (%),5~7년 미만 (%),7년 이상 (%),해당 없음(아직 도달하지 못함) (%),사례수 (개),1년 미만 (%),1~2년 미만 (%),2~3년 미만 (%),3~4년 미만 (%),4~5년 미만 (%),5~6년 미만 (%),6~7년 미만 (%),해당 없음(아직 도달하지 못함) (%)
"세부업종별",협회 및 단체 수리 및 기타 개인 서비스업,451,8.0,18.6,25.5,11.5,36.3,673,3.1,17.9,35.8,18.9,2.6,1.6,20.0,870,0.0,19.2,29.4,4.6,2.9,0.0,0.5,43.4
"종사자규모별",5인 미만,12922,6.6,17.0,23.1,19.9,33.5,11421,2.4,28.3,34.1,16.5,6.3,2.2,10.2,16552,2.9,20.2,19.8,5.9,4.3,2.4,0.8,43.8
"종사자규모별",5~19인,7201,4.9,19.4,23.3,23.8,28.7,9402,3.2,14.3,38.1,25.8,7.7,0.9,9.9,11600,3.3,25.5,23.9,14.3,5.5,2.9,0.9,23.5
"종사자규모별",20~49인,873,7.0,17.4,28.9,22.7,24.0,1223,3.2,12.5,45.1,24.3,8.2,1.1,5.6,1561,1.0,20.3,38.7,11.2,4.5,2.1,1.7,20.6
"종사자규모별",50~99인,128,14.3,19.2,36.6,16.1,13.8,270,2.1,11.8,34.9,23.6,9.8,7.0,10.8,294,3.5,15.4,30.5,17.9,5.4,2.1,2.1,23.1
"종사자규모별",100인 이상,75,3.0,13.3,20.5,35.9,27.3,81,0.0,13.5,46.1,14.3,14.9,5.0,6.3,110,1.8,16.9,33.8,10.7,6.8,1.6,4.7,23.7
"권역별",수도권(서울/인천/경기/강원),12945,3.5,15.6,25.2,27.6,28.1,11769,1.3,19.8,35.0,23.3,9.2,2.4,9.1,16818,1.6,17.6,22.0,11.5,5.5,4.2,0.5,37.0
"권역별",경남권(부산/울산/경남),3152,13.8,20.5,23.3,8.7,33.7,2576,0.0,16.6,41.8,26.5,7.5,0.7,6.9,4519,3.8,27.8,32.6,6.4,1.6,0.4,0.3,27.2
"권역별",경북권(대구/경북),1668,6.7,26.3,23.6,9.7,33.8,2475,1.8,31.9,31.1,9.9,4.0,0.2,21.0,2638,0.4,28.6,20.6,8.1,2.4,0.1,0.0,39.9
"권역별",전라권(광주/전북/전남/제주),1870,8.8,18.2,20.8,15.9,36.3,3053,5.4,22.4,47.3,17.8,3.0,0.5,3.6,3478,8.8,36.3,13.0,7.3,5.0,0.5,0.0,29.0
"권역별",충청권(대전/충북/충남/세종),1564,7.7,21.1,12.4,13.7,45.0,2524,10.1,21.4,29.8,18.5,5.1,2.2,13.0,2664,4.7,16.9,22.8,7.0,7.8,1.2,6.5,33.1
"기업연령(업력)별",1년 이하,-,-,-,-,-,-,196,11.4,11.6,8.9,1.2,7.8,0.0,59.2,76,0.0,0.0,0.0,7.1,0.0,0.0,0.0,92.9
"기업연령(업력)별",2~3년,-,-,-,-,-,-,6015,3.4,30.5,29.8,5.8,1.0,0.0,29.5,12752,3.8,22.4,13.8,5.1,1.1,0.5,0.0,53.2
"기업연령(업력)별",4~5년,-,-,-,-,-,-,8312,2.3,18.7,37.6,25.8,9.4,3.4,2.9,10883,2.3,22.8,27.1,14.3,6.5,1.4,2.1,23.6
"기업연령(업력)별",6~10년,-,-,-,-,-,-,7875,2.6,17.2,41.0,27.8,9.4,1.1,0.9,6406,2.4,21.0,32.4,10.4,9.3,8.7,0.6,15.2
