"대전광역시",1524583,22907,9909,12998,16645,7439,9206,3641,2469,1172,3440,350,3090,4980,2572,2408,2074,920,1154,2510,1128,1382,1897,206,1691,1469,43,1426,428,163,265,4365,2264,2101,123,60,63,3831,1973,1858,411,231,180,5244,1532811,23729,10204,13525,17003,7534,9469,3624,2476,1148,3515,374,3141,4852,2483,2369,2205,980,1225,2807,1221,1586,2060,230,1830,1596,51,1545,464,179,285,4666,2440,2226,109,53,56,4223,2195,2028,334,192,142,5480,1531809,25190,10764,14426,18169,8031,10138,3759,2564,1195,3463,384,3079,5353,2620,2733,2544,1119,1425,3050,1344,1706,2287,260,2027,1668,62,1606,619,198,421,4734,2473,2261,113,58,55,4404,2285,2119,217,130,87,5710
"울산광역시",1147256,28045,16219,11826,21655,13872,7783,10829,8638,2191,2751,262,2489,607,397,210,2408,1534,874,5060,3041,2019,2298,284,2014,1765,47,1718,533,237,296,4092,2063,2029,146,68,78,3587,1797,1790,359,198,161,4906,1156480,32772,19295,13477,25785,16725,9060,11639,9317,2322,2947,313,2634,716,482,234,3358,2097,1261,7125,4516,2609,2550,313,2237,1955,52,1903,595,261,334,4437,2257,2180,207,108,99,3909,1981,1928,321,168,153,5341,1166377,38183,22653,15530,30881,19983,10898,13779,10829,2950,3007,348,2659,839,564,275,5038,3140,1898,8218,5102,3116,2743,361,2382,1969,61,1908,774,300,474,4559,2309,2250,228,123,105,4025,2020,2005,306,166,140,5634
"세종특별자치시",113117,3668,2146,1522,2889,1823,1066,1650,1375,275,437,29,408,284,152,132,305,179,126,213,88,125,216,31,185,168,5,163,48,26,22,563,292,271,12,4,8,505,264,241,46,24,22,566,122153,3782,2215,1567,2863,1843,1020,1623,1348,275,391,33,358,243,135,108,339,206,133,267,121,146,259,28,231,205,3,202,54,25,29,660,344,316,23,12,11,594,311,283,43,21,22,635,156125,4302,2407,1895,3249,2004,1245,1771,1427,344,414,42,372,228,115,113,481,257,224,355,163,192,327,32,295,239,-,239,88,32,56,726,371,355,26,16,10,671,339,332,29,16,13,732
"경기도",12093299,440735,235404,205331,351074,202105,148969,187392,131610,55782,40208,6925,33283,10601,5439,5162,62823,33085,29738,50050,25046,25004,41523,8682,32841,24196,1785,22411,17327,6897,10430,48138,24617,23521,4375,2194,2181,40356,20663,19693,3407,1760,1647,77796,12234630,492790,265208,227582,395786,229139,166647,201691,144026,57665,41293,7354,33939,10228,5378,4850,81071,41773,39298,61503,30608,30895,45044,9439,35605,25954,1741,24213,19090,7698,11392,51960,26630,25330,5066,2576,2490,43945,22547,21398,2949,1507,1442,82694,12357830,554160,298745,255415,452046,261158,190888,228836,161717,67119,40578,7419,33159,10241,5363,4878,100221,50727,49494,72170,35932,36238,49299,10580,38719,26076,1863,24213,23223,8717,14506,52815,27007,25808,5466,2733,2733,44983,23038,21945,2366,1236,1130,86536
"강원도",1538630,23738,10283,13455,14724,6792,7932,5031,3817,1214,3865,243,3622,2160,1055,1105,1823,893,930,1845,784,1061,2516,136,2380,2217,37,2180,299,99,200,6498,3355,3143,84,39,45,6013,3126,2887,401,190,211,6330,1542263,25141,11039,14102,15462,7320,8142,5380,4218,1162,3828,249,3579,1969,945,1024,2053,990,1063,2232,918,1314,2762,150,2612,2441,40,2401,321,110,211,6917,3569,3348,100,52,48,6437,3327,3110,380,190,190,6539,1544442,26657,11897,14760,16673,8113,8560,5893,4619,1274,3728,251,3477,2118,1016,1102,2286,1098,1188,2648,1129,1519,2969,170,2799,2586,39,2547,383,131,252,7015,3614,3401,91,43,48,6571,3390,3181,353,181,172,6680
"충청북도",1565628,39177,20980,18197,28657,17046,11611,14602,11582,3020,4693,377,4316,2835,1470,1365,3853,2430,1423,2674,1187,1487,3248,285,2963,2566,43,2523,682,242,440,7272,3649,3623,198,93,105,6488,3268,3220,586,288,298,7819,1572732,43148,23468,19680,31794,19268,12526,16617,13348,3269,4734,406,4328,2620,1303,1317,4362,2695,1667,3461,1516,1945,3636,312,3324,2918,56,2862,718,256,462,7718,3888,3830,233,120,113,6951,3498,3453,534,270,264,8258,1578933,48002,26671,21331,36092,22299,13793,19371,15456,3915,4694,431,4263,2409,1204,1205,5498,3355,2143,4120,1853,2267,4042,377,3665,3212,87,3125,830,290,540,7868,3995,3873,197,93,104,7340,3726,3614,331,176,155,8665
"충청남도",2028777,68639,38128,30511,52477,31952,20525,28510,22367,6143,7497,531,6966,5231,2635,2596,6534,4208,2326,4705,2211,2494,5152,588,4564,3871,75,3796,1281,513,768,11010,5588,5422,423,218,205,9880,4996,4884,707,374,333,12431,2047631,75438,42061,33377,58020,35430,22590,31775,24970,6805,7905,609,7296,4377,2163,2214,8096,5001,3095,5867,2687,3180,5555,600,4955,4246,90,4156,1309,510,799,11863,6031,5832,361,188,173,10798,5475,5323,704,368,336,13227,2062273,83524,46918,36606,64907,39921,24986,35351,27613,7738,7743,642,7101,4188,2041,2147,10463,6249,4214,7162,3376,3786,6276,731,5545,4499,122,4377,1777,609,1168,12341,6266,6075,420,217,203,11183,5640,5543,738,409,329,13837
"전라북도",1873341,37788,17723,20065,23968,12362,11606,9364,7752,1612,5795,255,5540,3629,1897,1732,1938,1053,885,3242,1405,1837,3831,211,3620,3357,37,3320,474,174,300,9989,5150,4839,142,71,71,9200,4753,4447,647,326,321,9539,1872965,39777,18680,21097,25368,13164,12204,10007,8317,1690,5858,289,5569,3289,1657,1632,2301,1252,1049,3913,1649,2264,4093,208,3885,3518,36,3482,575,172,403,10316,5308,5008,169,91,78,9574,4928,4646,573,289,284,9856,1871560,43141,20492,22649,27753,14679,13074,11389,9341,2048,5723,298,5425,3218,1575,1643,2769,1486,1283,4654,1979,2675,4568,219,4349,4064,37,4027,504,182,322,10820,5594,5226,214,114,100,10166,5236,4930,440,244,196,10252
"전라남도",1909618,41340,20113,21227,25395,13742,11653,12375,10473,1902,6861,201,6660,1767,940,827,1793,1070,723,2599,1058,1541,3796,169,3627,3436,24,3412,360,145,215,12149,6202,5947,219,112,107,11127,5682,5445,803,408,395,10578,1907172,43828,21412,22416,26697,14663,12034,13074,11221,1853,6830,208,6622,1423,753,670,2153,1227,926,3217,1254,1963,4299,192,4107,3881,24,3857,418,168,250,12832,6557,6275,180,86,94,11883,6080,5803,769,391,378,11032,1905780,48473,24807,23666,30780,17946,12834,15974,13807,2167,6709,201,6508,1314,670,644,2678,1508,1170,4105,1760,2345,4607,200,4407,4167,33,4134,440,167,273,13086,6661,6425,140,70,70,12007,6107,5900,939,484,455,11294
"경상북도",2698353,59330,32778,26552,43370,26549,16821,23475,19425,4050,7470,430,7040,4966,2781,2185,3303,2018,1285,4156,1895,2261,4386,264,4122,3896,69,3827,490,195,295,11574,5965,5609,174,91,83,10584,5442,5142,816,432,384,11766,2699440,64931,36061,28870,47406,29290,18116,26083,21655,4428,7673,486,7187,4449,2480,1969,3907,2319,1588,5294,2350,2944,4947,316,4631,4354,82,4272,593,234,359,12578,6455,6123,281,149,132,11542,5924,5618,755,382,373,12518,2700794,70725,40072,30653,52572,33236,19336,29530,24703,4827,7604,532,7072,4379,2366,2013,4881,2862,2019,6178,2773,3405,5441,335,5106,4625,66,4559,816,269,547,12712,6501,6211,253,120,133,11820,6072,5748,639,309,330,12970
"경상남도",3319314,89986,57439,32547,69628,49656,19972,44142,39295,4847,9288,747,8541,2144,1116,1028,5257,3399,1858,8797,5099,3698,6064,452,5612,5197,94,5103,867,358,509,14294,7331,6963,343,164,179,12880,6613,6267,1071,554,517,15125,3333820,97148,61852,35296,75302,53649,21653,45946,41005,4941,9514,820,8694,1899,990,909,6176,3882,2294,11767,6952,4815,6703,450,6253,5785,101,5684,918,349,569,15143,7753,7390,469,226,243,13748,7048,6700,926,479,447,16021,3350257,108375,69286,39089,85436,60834,24602,52135,46133,6002,9395,883,8512,1639,840,799,7833,4679,3154,14434,8299,6135,7441,522,6919,6420,156,6264,1021,366,655,15498,7930,7568,485,237,248,14214,7272,6942,799,421,378,16640
"제주특별자치도",583713,12656,6798,5858,9434,5437,3997,4461,3801,660,1803,167,1636,906,444,462,698,306,392,1566,719,847,864,114,750,620,29,591,244,85,159,2358,1247,1111,42,25,17,2120,1122,998,196,100,96,2622,593806,15568,8324,7244,11935,6807,5128,5214,4394,820,1945,198,1747,851,418,433,1071,496,575,2854,1301,1553,1033,148,885,751,35,716,282,113,169,2600,1369,1231,53,26,27,2367,1250,1117,180,93,87,2917,607346,19903,10501,9402,15865,8840,7025,6137,4955,1182,2054,230,1824,956,459,497,1686,798,888,5032,2398,2634,1221,176,1045,864,38,826,357,138,219,2817,1485,1332,78,36,42,2575,1371,1204,164,78,86,3245
