"대구광역시","전국",363224,11351,365739,15526,364364,12940,337488,9260,333118,11936,335400,14242
"대구광역시","서울특별시",13673,3042,13735,3673,13038,2847,12802,3179,13011,4120,13749,5303
"대구광역시","부산광역시",5543,516,6157,857,5182,629,4860,244,4840,334,4705,200
"대구광역시","대구광역시",258107,0,252642,0,259185,0,240722,0,236143,0,235621,0
"대구광역시","인천광역시",2202,407,2015,281,1987,296,1962,411,1930,340,1968,466
"대구광역시","광주광역시",622,-54,902,156,629,82,547,-30,515,-132,549,-65
"대구광역시","대전광역시",2219,457,2254,436,2085,418,1949,239,1978,454,2067,542
"대구광역시","울산광역시",3833,551,3835,560,3675,486,3266,50,2604,-731,2601,-455
"대구광역시","세종특별자치시",233,124,526,334,879,660,642,379,827,487,887,510
"대구광역시","경기도",13659,2650,12813,1852,12322,2279,11918,2291,12354,3482,13227,4307
"대구광역시","강원도",1820,119,1884,335,1884,149,1748,-70,1657,121,1676,33
"대구광역시","충청북도",1958,265,2026,210,1957,507,1771,254,1824,381,2017,567
"대구광역시","충청남도",2599,561,2682,525,2509,510,2323,543,2578,824,2510,773
"대구광역시","전라북도",985,-33,996,116,940,79,920,27,911,95,840,-23
"대구광역시","전라남도",948,-38,985,64,953,80,907,-52,897,-8,984,-37
"대구광역시","경상북도",45035,2259,51852,4808,46900,3072,41444,1939,41714,2483,42744,2499
"대구광역시","경상남도",8941,298,9374,889,8922,263,8313,-715,7704,-942,7684,-917
"대구광역시","제주특별자치도",847,227,1061,430,1317,583,1394,571,1631,628,1571,539
"인천광역시","전국",439578,-22035,442973,-9324,463685,-9538,435869,-5777,411135,1670,433706,67
"인천광역시","서울특별시",33017,-14407,34380,-8832,33570,-11345,32486,-11259,32528,-7957,32415,-8818
"인천광역시","부산광역시",2677,-309,3088,-55,2930,-255,2616,-476,2620,-374,2107,-795
"인천광역시","대구광역시",1795,-407,1734,-281,1691,-296,1551,-411,1590,-340,1502,-466
"인천광역시","인천광역시",297446,0,295375,0,314622,0,290783,0,266394,0,287236,0
"인천광역시","광주광역시",1939,-170,2007,-3,1894,-273,1762,-318,1518,-482,1451,-542
"인천광역시","대전광역시",2673,11,2736,115,2756,240,2616,153,2552,94,2263,-314
"인천광역시","울산광역시",1289,235,1083,-2,1359,110,1080,-55,962,-71,778,-317
"인천광역시","세종특별자치시",592,280,990,668,1496,1045,1398,861,1265,633,1125,354
"인천광역시","경기도",63331,-11148,65903,-5651,66353,-5160,66764,900,67838,6041,72932,9571
"인천광역시","강원도",5573,502,5549,401,5904,846,5598,518,5396,733,5125,293
"인천광역시","충청북도",4172,743,4210,753,4624,1115,4303,995,4051,635,4191,797
