"국적별","체류자격별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"합계","회화지도","남자","","3809","2879","2378","2375","2022","1853",
"합계","회화지도","여자","","4891","4097","3745","4016","3707","3882",
"합계","연구","계","","881","758","675","852","701","768",
"합계","연구","남자","","764","668","573","744","593","660",
"합계","연구","여자","","117","90","102","108","108","108",
"합계","기술지도","계","","38","20","10","14","14","13",
"합계","기술지도","남자","","38","19","10","14","14","12",
"합계","기술지도","여자","","0","1","0","0","0","1",
"합계","전문직업","계","","101","101","136","161","119","93",
"합계","전문직업","남자","","100","101","136","161","119","92",
"합계","전문직업","여자","","1","0","0","0","0","1",
"합계","예술흥행","계","","2423","2516","2119","1575","1112","1178",
"합계","예술흥행","남자","","612","663","580","561","522","542",
"합계","예술흥행","여자","","1811","1853","1539","1014","590","636",
"합계","특정활동","계","","3755","3912","4153","4880","3767","4426",
"합계","특정활동","남자","","2770","2871","2965","3045","2209","2593",
"합계","특정활동","여자","","985","1041","1188","1835","1558","1833",
"합계","비전문취업","계","","59522","53219","52167","60538","51341","54499",
"합계","비전문취업","남자","","54421","48697","47582","54999","46703","50390",
"합계","비전문취업","여자","","5101","4522","4585","5539","4638","4109",
"합계","방문동거","계","","7684","8091","10394","17195","17803","18177",
"합계","방문동거","남자","","2629","2763","3671","6535","7265","7559",
"합계","방문동거","여자","","5055","5328","6723","10660","10538","10618",
"합계","거주","계","","2775","2149","1979","2024","1914","2137",
"합계","거주","남자","","1038","801","697","721","711","811",
"합계","거주","여자","","1737","1348","1282","1303","1203","1326",
"합계","동반","계","","5094","5172","4621","4865","4364","5274",
"합계","동반","남자","","1486","1422","1317","1437","1282","1593",
"합계","동반","여자","","3608","3750","3304","3428","3082","3681",
"합계","재외동포","계","","28587","40802","45617","51500","51953","54882",
"합계","재외동포","남자","","13936","18788","21165","24324","24390","25604",
"합계","재외동포","여자","","14651","22014","24452","27176","27563","29278",
"합계","영주","계","","5062","5509","5790","5824","5921","6104",
"합계","영주","남자","","2328","2532","2580","2555","2543","2600",
"합계","영주","여자","","2734","2977","3210","3269","3378","3504",
"합계","결혼이민","계","","15890","12204","11470","12214","11679","12557",
"합계","결혼이민","남자","","1576","1440","1257","1412","1371","1560",
"합계","결혼이민","여자","","14314","10764","10213","10802","10308","10997",
"합계","기타","계","","72","118","317","560","761","491",
"합계","기타","남자","","47","81","268","466","620","365",
"합계","기타","여자","","25","37","49","94","141","126",
"합계","관광취업","계","","1182","1322","1360","1557","1872","2410",
"합계","관광취업","남자","","220","284","266","298","327","421",
"합계","관광취업","여자","","962","1038","1094","1259","1545","1989",
"합계","방문취업","계","","68653","90733","65082","47842","52458","52712",
"합계","방문취업","남자","","37845","49363","35082","26162","29365","30400",
"합계","방문취업","여자","","30808","41370","30000","21680","23093","22312",
"합계","관광상륙","계","","57","106","145","323","72","19",
"합계","관광상륙","남자","","33","55","75","176","40","16",
"합계","관광상륙","여자","","24","51","70","147","32","3",
"아프가니스탄","총계","계","","111","92","59","68","81","121",
"아프가니스탄","총계","남자","","92","82","50","61","74","97",
"아프가니스탄","총계","여자","","19","10","9","7","7","24",
"아프가니스탄","공무","계","","","3","2","7","4","4",
"아프가니스탄","공무","남자","","","3","2","5","3","3",
"아프가니스탄","공무","여자","","","0","0","2","1","1",
"아프가니스탄","관광통과","계","","","","","","","1",
"아프가니스탄","관광통과","남자","","","","","","","0",
"아프가니스탄","관광통과","여자","","","","","","","1",
"아프가니스탄","단기방문","계","","60","50","15","19","23","42",
"아프가니스탄","단기방문","남자","","57","45","12","17","22","32",
"아프가니스탄","단기방문","여자","","3","5","3","2","1","10",
"아프가니스탄","구직","계","","","","","1","","",
"아프가니스탄","구직","남자","","","","","0","","",
"아프가니스탄","구직","여자","","","","","1","","",
"아프가니스탄","유학","계","","19","22","15","23","21","24",
"아프가니스탄","유학","남자","","14","20","14","22","20","23",
"아프가니스탄","유학","여자","","5","2","1","1","1","1",
"아프가니스탄","일반연수","계","","8","2","8","5","11","23",
"아프가니스탄","일반연수","남자","","6","2","8","5","11","20",
"아프가니스탄","일반연수","여자","","2","0","0","0","0","3",
"아프가니스탄","기업투자","계","","8","2","8","5","8","10",
"아프가니스탄","기업투자","남자","","8","2","8","5","8","10",
"아프가니스탄","기업투자","여자","","0","0","0","0","0","0",
"아프가니스탄","무역경영","계","","1","6","3","1","2","3",
"아프가니스탄","무역경영","남자","","1","6","3","1","2","3",
"아프가니스탄","무역경영","여자","","0","0","0","0","0","0",
"아프가니스탄","연구","계","","1","","","","","",
"아프가니스탄","연구","남자","","1","","","","","",
"아프가니스탄","연구","여자","","0","","","","","",
"아프가니스탄","거주","계","","","1","","1","1","1",
"아프가니스탄","거주","남자","","","1","","1","1","1",
"아프가니스탄","거주","여자","","","0","","0","0","0",
"아프가니스탄","동반","계","","14","5","6","4","11","12",
"아프가니스탄","동반","남자","","5","2","1","3","7","4",
"아프가니스탄","동반","여자","","9","3","5","1","4","8",
"아프가니스탄","영주","계","","","","1","","","",
"아프가니스탄","영주","남자","","","","1","","","",
"아프가니스탄","영주","여자","","","","0","","","",
"아프가니스탄","결혼이민","계","","","1","","1","","",
"아프가니스탄","결혼이민","남자","","","1","","1","","",
"아프가니스탄","결혼이민","여자","","","0","","0","","",
"아프가니스탄","기타","계","","","","1","1","","1",
"아프가니스탄","기타","남자","","","","1","1","","1",
"아프가니스탄","기타","여자","","","","0","0","","0",
"바레인","총계","계","","1","2","7","6","5","13",
"바레인","총계","남자","","1","0","3","3","1","12",
"바레인","총계","여자","","0","2","4","3","4","1",
"바레인","관광통과","계","","","","","2","","2",
"바레인","관광통과","남자","","","","","1","","2",
"바레인","관광통과","여자","","","","","1","","0",
"바레인","단기방문","계","","1","1","","","","",
"바레인","단기방문","남자","","1","0","","","","",
"바레인","단기방문","여자","","0","1","","","","",
"바레인","유학","계","","","","3","3","3","",
"바레인","유학","남자","","","","2","1","1","",
"바레인","유학","여자","","","","1","2","2","",
"바레인","일반연수","계","","","","2","","2","1",
"바레인","일반연수","남자","","","","1","","0","0",
"바레인","일반연수","여자","","","","1","","2","1",
"바레인","무역경영","계","","","","","","","10",
"바레인","무역경영","남자","","","","","","","10",
"바레인","무역경영","여자","","","","","","","0",
"바레인","동반","계","","","","1","","","",
"바레인","동반","남자","","","","0","","","",
"바레인","동반","여자","","","","1","","","",
"바레인","재외동포","계","","","1","1","","","",
"바레인","재외동포","남자","","","0","0","","","",
"바레인","재외동포","여자","","","1","1","","","",
"바레인","관광상륙","계","","","","","1","","",
"바레인","관광상륙","남자","","","","","1","","",
"바레인","관광상륙","여자","","","","","0","","",
"방글라데시","총계","계","","2520","2282","2918","2906","2728","3346",
"방글라데시","총계","남자","","2385","2085","2694","2666","2462","2984",
"방글라데시","총계","여자","","135","197","224","240","266","362",
"방글라데시","공무","계","","6","7","7","14","3","19",
"방글라데시","공무","남자","","4","2","5","10","2","16",
"방글라데시","공무","여자","","2","5","2","4","1","3",
"방글라데시","사증면제","계","","1","1","2","","","2",
"방글라데시","사증면제","남자","","1","1","2","","","1",
"방글라데시","사증면제","여자","","0","0","0","","","1",
"방글라데시","관광통과","계","","8","1","7","11","1","10",
"방글라데시","관광통과","남자","","8","1","5","10","1","10",
"방글라데시","관광통과","여자","","0","0","2","1","0","0",
"방글라데시","단기방문","계","","30","87","102","198","278","222",
"방글라데시","단기방문","남자","","19","55","61","149","202","138",
"방글라데시","단기방문","여자","","11","32","41","49","76","84",
"방글라데시","단기취업","계","","","","1","","1","",
"방글라데시","단기취업","남자","","","","1","","1","",
"방글라데시","단기취업","여자","","","","0","","0","",
"방글라데시","문화예술","계","","1","","1","1","3","",
"방글라데시","문화예술","남자","","1","","1","1","2","",
"방글라데시","문화예술","여자","","0","","0","0","1","",
"방글라데시","구직","계","","1","2","2","","2","2",
"방글라데시","구직","남자","","1","2","2","","2","2",
"방글라데시","구직","여자","","0","0","0","","0","0",
"방글라데시","유학","계","","138","165","187","309","300","297",
"방글라데시","유학","남자","","126","130","158","276","256","255",
"방글라데시","유학","여자","","12","35","29","33","44","42",
"방글라데시","기술연수","계","","","1","2","","3","3",
"방글라데시","기술연수","남자","","","1","2","","3","3",
"방글라데시","기술연수","여자","","","0","0","","0","0",
"방글라데시","일반연수","계","","22","41","42","24","62","86",
"방글라데시","일반연수","남자","","16","36","34","18","60","75",
"방글라데시","일반연수","여자","","6","5","8","6","2","11",
"방글라데시","종교","계","","5","1","2","4","3","1",
"방글라데시","종교","남자","","4","1","2","4","2","1",
"방글라데시","종교","여자","","1","0","0","0","1","0",
"방글라데시","주재","계","","5","1","5","","3","1",
"방글라데시","주재","남자","","5","1","5","","2","1",
"방글라데시","주재","여자","","0","0","0","","1","0",
"방글라데시","기업투자","계","","7","1","2","2","4","2",
"방글라데시","기업투자","남자","","7","1","2","2","4","2",
"방글라데시","기업투자","여자","","0","0","0","0","0","0",
"방글라데시","무역경영","계","","2","2","3","5","4","2",
"방글라데시","무역경영","남자","","2","2","3","5","4","2",
"방글라데시","무역경영","여자","","0","0","0","0","0","0",
"방글라데시","교수","계","","","2","1","1","2","3",
"방글라데시","교수","남자","","","2","1","1","2","3",
"방글라데시","교수","여자","","","0","0","0","0","0",
"방글라데시","연구","계","","11","14","16","15","16","15",
"방글라데시","연구","남자","","11","13","13","13","15","14",
"방글라데시","연구","여자","","0","1","3","2","1","1",
"방글라데시","특정활동","계","","10","8","9","12","9","8",
"방글라데시","특정활동","남자","","10","8","9","10","9","8",
"방글라데시","특정활동","여자","","0","0","0","2","0","0",
"방글라데시","비전문취업","계","","2145","1776","2327","2076","1826","2373",
"방글라데시","비전문취업","남자","","2117","1763","2316","2071","1816","2358",
"방글라데시","비전문취업","여자","","28","13","11","5","10","15",
"방글라데시","방문동거","계","","3","5","7","18","15","14",
"방글라데시","방문동거","남자","","1","4","5","10","6","3",
"방글라데시","방문동거","여자","","2","1","2","8","9","11",
"방글라데시","거주","계","","3","","4","12","10","23",
"방글라데시","거주","남자","","2","","1","5","5","13",
"방글라데시","거주","여자","","1","","3","7","5","10",
"방글라데시","동반","계","","81","113","147","136","142","214",
"방글라데시","동반","남자","","15","21","36","30","32","43",
"방글라데시","동반","여자","","66","92","111","106","110","171",
"방글라데시","영주","계","","2","7","3","8","9","4",
"방글라데시","영주","남자","","2","7","3","8","9","4",
"방글라데시","영주","여자","","0","0","0","0","0","0",
"방글라데시","결혼이민","계","","36","46","36","51","27","44",
"방글라데시","결혼이민","남자","","30","33","24","34","22","31",
"방글라데시","결혼이민","여자","","6","13","12","17","5","13",
"방글라데시","기타","계","","3","1","3","9","5","1",
"방글라데시","기타","남자","","3","1","3","9","5","1",
"방글라데시","기타","여자","","0","0","0","0","0","0",
"부탄","총계","계","","12","12","14","15","32","14",
"부탄","총계","남자","","9","8","5","9","13","7",
"부탄","총계","여자","","3","4","9","6","19","7",
"부탄","단기방문","계","","","1","","1","18","1",
"부탄","단기방문","남자","","","1","","0","6","1",
"부탄","단기방문","여자","","","0","","1","12","0",
"부탄","문화예술","계","","2","","","","1","1",
"부탄","문화예술","남자","","2","","","","1","1",
"부탄","문화예술","여자","","0","","","","0","0",
"부탄","유학","계","","1","1","6","5","6","3",
"부탄","유학","남자","","1","0","1","3","2","2",
"부탄","유학","여자","","0","1","5","2","4","1",
"부탄","일반연수","계","","8","10","7","7","6","5",
"부탄","일반연수","남자","","5","7","3","4","4","0",
"부탄","일반연수","여자","","3","3","4","3","2","5",
"부탄","종교","계","","","","","2","","",
"부탄","종교","남자","","","","","2","","",
"부탄","종교","여자","","","","","0","","",
"부탄","교수","계","","","","","","","2",
"부탄","교수","남자","","","","","","","2",
"부탄","교수","여자","","","","","","","0",
"부탄","연구","계","","1","","","","","",
"부탄","연구","남자","","1","","","","","",
"부탄","연구","여자","","0","","","","","",
"부탄","특정활동","계","","","","","","1","",
"부탄","특정활동","남자","","","","","","0","",
"부탄","특정활동","여자","","","","","","1","",
"부탄","동반","계","","","","1","","","",
"부탄","동반","남자","","","","1","","","",
"부탄","동반","여자","","","","0","","","",
"부탄","결혼이민","계","","","","","","","2",
"부탄","결혼이민","남자","","","","","","","1",
"부탄","결혼이민","여자","","","","","","","1",
"브루나이","총계","계","","114","135","119","125","101","120",
"브루나이","총계","남자","","35","23","27","22","18","20",
"브루나이","총계","여자","","79","112","92","103","83","100",
"브루나이","공무","계","","","","1","","","",
"브루나이","공무","남자","","","","0","","","",
"브루나이","공무","여자","","","","1","","","",
"브루나이","관광통과","계","","1","","1","1","2","1",
"브루나이","관광통과","남자","","1","","1","1","2","1",
"브루나이","관광통과","여자","","0","","0","0","0","0",
"브루나이","단기방문","계","","","2","3","1","","",
"브루나이","단기방문","남자","","","1","0","0","","",
"브루나이","단기방문","여자","","","1","3","1","","",
"브루나이","유학","계","","85","122","98","118","96","118",
"브루나이","유학","남자","","16","20","17","20","16","18",
"브루나이","유학","여자","","69","102","81","98","80","100",
"브루나이","일반연수","계","","2","4","5","3","3","1",
"브루나이","일반연수","남자","","1","0","1","0","0","1",
"브루나이","일반연수","여자","","1","4","4","3","3","0",
"브루나이","주재","계","","","","1","","","",
"브루나이","주재","남자","","","","1","","","",
"브루나이","주재","여자","","","","0","","","",
"브루나이","무역경영","계","","9","1","2","1","","",
"브루나이","무역경영","남자","","9","1","2","1","","",
"브루나이","무역경영","여자","","0","0","0","0","","",
"브루나이","특정활동","계","","1","","","","","",
"브루나이","특정활동","남자","","0","","","","","",
"브루나이","특정활동","여자","","1","","","","","",
"브루나이","방문동거","계","","","1","","1","","",
"브루나이","방문동거","남자","","","0","","0","","",
"브루나이","방문동거","여자","","","1","","1","","",
"브루나이","동반","계","","16","5","8","","","",
"브루나이","동반","남자","","8","1","5","","","",
"브루나이","동반","여자","","8","4","3","","","",
"미얀마","총계","계","","4560","5106","5208","6671","6307","7446",
"미얀마","총계","남자","","4438","4958","5037","6430","6045","7132",
"미얀마","총계","여자","","122","148","171","241","262","314",
"미얀마","공무","계","","1","1","3","2","1","2",
"미얀마","공무","남자","","0","1","1","2","1","0",
"미얀마","공무","여자","","1","0","2","0","0","2",
"미얀마","사증면제","계","","3","1","2","","1","",
"미얀마","사증면제","남자","","3","1","1","","0","",
"미얀마","사증면제","여자","","0","0","1","","1","",
"미얀마","관광통과","계","","15","10","15","9","14","16",
"미얀마","관광통과","남자","","14","10","15","9","14","16",
"미얀마","관광통과","여자","","1","0","0","0","0","0",
"미얀마","단기방문","계","","45","37","24","76","66","102",
"미얀마","단기방문","남자","","31","23","12","36","34","65",
"미얀마","단기방문","여자","","14","14","12","40","32","37",
"미얀마","문화예술","계","","1","5","5","1","7","6",
"미얀마","문화예술","남자","","0","2","1","0","1","0",
"미얀마","문화예술","여자","","1","3","4","1","6","6",
"미얀마","구직","계","","","1","1","1","","",
"미얀마","구직","남자","","","0","0","1","","",
"미얀마","구직","여자","","","1","1","0","","",
"미얀마","유학","계","","62","97","109","125","113","184",
"미얀마","유학","남자","","23","37","42","40","47","74",
"미얀마","유학","여자","","39","60","67","85","66","110",
"미얀마","일반연수","계","","61","57","74","97","176","178",
"미얀마","일반연수","남자","","24","18","22","27","66","61",
"미얀마","일반연수","여자","","37","39","52","70","110","117",
"미얀마","종교","계","","12","4","3","20","24","20",
"미얀마","종교","남자","","9","4","2","8","7","8",
"미얀마","종교","여자","","3","0","1","12","17","12",
"미얀마","기업투자","계","","","","","","1","",
"미얀마","기업투자","남자","","","","","","1","",
"미얀마","기업투자","여자","","","","","","0","",
"미얀마","무역경영","계","","3","9","7","1","1","3",
"미얀마","무역경영","남자","","3","8","6","1","1","3",
"미얀마","무역경영","여자","","0","1","1","0","0","0",
"미얀마","교수","계","","","","","1","1","",
"미얀마","교수","남자","","","","","0","0","",
"미얀마","교수","여자","","","","","1","1","",
"미얀마","선원","계","","359","404","442","568","491","513",
"미얀마","선원","남자","","359","404","442","568","491","513",
"미얀마","선원","여자","","0","0","0","0","0","0",
"미얀마","회화지도","계","","","2","1","","","2",
"미얀마","회화지도","남자","","","0","0","","","0",
"미얀마","회화지도","여자","","","2","1","","","2",
"미얀마","연구","계","","3","3","1","2","2","1",
"미얀마","연구","남자","","0","0","0","0","1","1",
"미얀마","연구","여자","","3","3","1","2","1","0",
"미얀마","특정활동","계","","1","2","3","","2","2",
"미얀마","특정활동","남자","","0","2","2","","0","1",
"미얀마","특정활동","여자","","1","0","1","","2","1",
"미얀마","비전문취업","계","","3970","4442","4484","5730","5374","6387",
"미얀마","비전문취업","남자","","3970","4442","4484","5730","5374","6386",
"미얀마","비전문취업","여자","","0","0","0","0","0","1",
"미얀마","방문동거","계","","8","8","4","6","7","2",
"미얀마","방문동거","남자","","1","1","0","0","0","0",
"미얀마","방문동거","여자","","7","7","4","6","7","2",
"미얀마","거주","계","","1","4","2","4","3","",
"미얀마","거주","남자","","1","3","2","3","2","",
"미얀마","거주","여자","","0","1","0","1","1","",
"미얀마","동반","계","","13","14","12","4","5","2",
"미얀마","동반","남자","","0","2","1","2","2","1",
