"대만","여자",7617,136,160,232,423,1024,820,795,582,442,392,514,638,459,295,222,483,7604,98,133,173,353,1126,893,772,619,422,401,472,612,497,307,222,504,7947,82,109,163,311,1188,1025,892,736,452,445,422,596,538,329,220,439,7406,93,90,154,258,1270,1003,848,723,440,372,362,449,453,290,233,368
"일본","계",17930,733,672,420,910,1795,1023,1522,1965,2140,2581,2280,847,300,254,191,297,17988,557,790,429,881,1899,928,1470,1917,2048,2523,2387,1086,334,260,194,285,18376,271,317,213,767,2197,1158,1619,2065,2127,2410,2744,1428,374,252,210,224,18801,420,289,237,774,2444,1294,1539,1969,2075,2256,2694,1668,479,244,207,212
"일본","남자",3775,365,341,204,316,413,181,233,247,284,240,232,157,132,160,136,134,3753,290,394,223,252,386,165,216,273,281,290,230,191,134,153,142,133,3463,132,154,116,176,389,214,238,299,347,331,286,242,135,149,144,111,3361,220,125,108,188,381,214,212,261,291,309,282,232,141,131,147,119
"일본","여자",14155,368,331,216,594,1382,842,1289,1718,1856,2341,2048,690,168,94,55,163,14235,267,396,206,629,1513,763,1254,1644,1767,2233,2157,895,200,107,52,152,14913,139,163,97,591,1808,944,1381,1766,1780,2079,2458,1186,239,103,66,113,15440,200,164,129,586,2063,1080,1327,1708,1784,1947,2412,1436,338,113,60,93
"몽골","계",22412,564,269,183,773,3202,5268,4047,2819,2243,1392,915,476,154,60,27,20,26120,823,423,227,882,3282,6016,5080,3323,2535,1629,1040,542,208,67,22,21,29730,992,549,303,1324,3750,6649,5817,3776,2693,1870,1120,569,215,62,24,17,32704,1080,707,365,1887,4070,6751,6598,4093,2964,2114,1189,568,219,57,26,16
"몽골","남자",11810,288,117,85,394,1958,2953,2154,1470,1074,602,384,210,74,23,10,14,13337,428,190,106,423,1836,3274,2703,1709,1191,692,419,228,84,33,7,14,14821,503,243,133,615,1991,3551,3075,1904,1250,774,426,217,93,28,9,9,16059,557,332,165,870,2101,3592,3486,2036,1336,841,403,211,87,23,11,8
"몽골","여자",10602,276,152,98,379,1244,2315,1893,1349,1169,790,531,266,80,37,17,6,12783,395,233,121,459,1446,2742,2377,1614,1344,937,621,314,124,34,15,7,14909,489,306,170,709,1759,3098,2742,1872,1443,1096,694,352,122,34,15,8,16645,523,375,200,1017,1969,3159,3112,2057,1628,1273,786,357,132,34,15,8
"베트남","계",126921,296,181,166,1786,20329,37282,26253,10056,7072,6898,7541,5525,2549,778,143,66,133106,390,225,229,3593,20576,35593,28100,10671,7629,7287,8499,6163,3041,897,155,58,147519,538,243,244,7392,25127,34685,30218,12740,7961,8176,8863,6818,3276,1020,166,52,169177,687,349,277,10942,35614,36544,32125,15821,8854,8588,8390,6626,3242,911,162,45
"베트남","남자",63848,145,84,71,485,6210,19621,17224,6422,4149,2789,3064,2123,1046,325,59,31,65673,189,97,107,1255,6159,17942,17997,6654,4441,3014,3590,2482,1285,366,66,29,73060,275,100,109,3104,8868,16964,19054,7961,4449,3536,3780,2857,1461,447,73,22,86345,369,156,121,4783,15441,18274,19918,10169,4921,3968,3593,2742,1405,400,63,22
"베트남","여자",63073,151,97,95,1301,14119,17661,9029,3634,2923,4109,4477,3402,1503,453,84,35,67433,201,128,122,2338,14417,17651,10103,4017,3188,4273,4909,3681,1756,531,89,29,74459,263,143,135,4288,16259,17721,11164,4779,3512,4640,5083,3961,1815,573,93,30,82832,318,193,156,6159,20173,18270,12207,5652,3933,4620,4797,3884,1837,511,99,23
"필리핀","계",51338,156,173,144,277,4951,10748,11845,10530,5972,3415,1429,886,450,224,69,69,51808,135,164,118,267,4330,11154,11508,10779,6314,3657,1587,933,491,217,87,67,48033,140,110,85,233,3517,11004,11046,10061,5547,3013,1612,864,446,205,92,58,47532,203,144,115,204,3185,11127,11677,9834,5340,2745,1488,778,437,162,70,23
