"내외국인별","성별","연령별",2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018
"내외국인별","성별","연령별",총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동,총이동,입국자,출국자,국제순이동
"계","계","31세",32768,17302,15466,1836,31564,17412,14152,3260,30806,15647,15159,488,31726,16407,15319,1088,34468,18753,15715,3038,37228,20470,16758,3712
"계","계","32세",29337,15616,13721,1895,29726,16407,13319,3088,29770,15050,14720,330,30305,15510,14795,715,31860,17435,14425,3010,34862,19093,15769,3324
"계","계","33세",27509,14390,13119,1271,27385,14924,12461,2463,28985,14539,14446,93,29331,14874,14457,417,29980,16042,13938,2104,32338,17484,14854,2630
"계","계","34세",25647,13383,12264,1119,26346,14222,12124,2098,26312,13196,13116,80,28486,14446,14040,406,29785,15952,13833,2119,31109,16989,14120,2869
"계","계","35세",23254,12017,11237,780,24311,13156,11155,2001,25379,12694,12685,9,26261,13067,13194,-127,29689,15841,13848,1993,30896,16744,14152,2592
"계","계","36세",21830,11122,10708,414,21634,11691,9943,1748,23013,11400,11613,-213,25157,12725,12432,293,27043,14284,12759,1525,29571,15913,13658,2255
"계","계","37세",20710,10673,10037,636,20817,11226,9591,1635,20881,10438,10443,-5,23157,11545,11612,-67,26074,13827,12247,1580,27682,14864,12818,2046
"계","계","38세",20052,10228,9824,404,20208,10905,9303,1602,19702,9710,9992,-282,20989,10605,10384,221,23610,12635,10975,1660,26859,14449,12410,2039
"계","계","39세",20046,10030,10016,14,19590,10408,9182,1226,18785,9368,9417,-49,19547,9811,9736,75,21993,11735,10258,1477,24931,13182,11749,1433
"계","계","40세",20146,10135,10011,124,19977,10786,9191,1595,18104,9090,9014,76,18654,9356,9298,58,20685,11181,9504,1677,22559,12269,10290,1979
"계","계","41세",20012,10373,9639,734,20085,11006,9079,1927,18077,9171,8906,265,18508,9346,9162,184,19547,10489,9058,1431,21340,11399,9941,1458
"계","계","42세",20430,10655,9775,880,20228,11298,8930,2368,18170,9219,8951,268,18327,9453,8874,579,18933,10277,8656,1621,20325,11002,9323,1679
"계","계","43세",19076,10155,8921,1234,20533,11497,9036,2461,18131,9454,8677,777,18316,9593,8723,870,18933,10467,8466,2001,19528,10787,8741,2046
"계","계","44세",17717,9644,8073,1571,19120,10925,8195,2730,18576,9865,8711,1154,18000,9494,8506,988,18568,10212,8356,1856,19453,10849,8604,2245
"계","계","45세",15859,8880,6979,1901,17844,10422,7422,3000,17166,9306,7860,1446,18120,9790,8330,1460,18765,10442,8323,2119,18940,10664,8276,2388
"계","계","46세",14629,8259,6370,1889,16376,9522,6854,2668,16227,8731,7496,1235,17049,9194,7855,1339,18926,10635,8291,2344,19476,11188,8288,2900
"계","계","47세",15337,8741,6596,2145,15211,9018,6193,2825,15011,8443,6568,1875,16490,9144,7346,1798,17625,9922,7703,2219,18796,10747,8049,2698
"계","계","48세",15998,9132,6866,2266,16125,9479,6646,2833,13701,7513,6188,1325,14851,8048,6803,1245,16975,9466,7509,1957,18334,10456,7878,2578
"계","계","49세",15525,8582,6943,1639,16454,9551,6903,2648,14312,7769,6543,1226,13811,7571,6240,1331,15752,8851,6901,1950,17613,9782,7831,1951
"계","계","50세",17047,9474,7573,1901,17590,10601,6989,3612,14954,8344,6610,1734,14905,8192,6713,1479,14604,8194,6410,1784,15881,8923,6958,1965
"계","계","51세",13004,7004,6000,1004,18489,11013,7476,3537,15311,8365,6946,1419,15329,8341,6988,1353,15701,8727,6974,1753,14619,8298,6321,1977
"계","계","52세",12883,6878,6005,873,14277,8298,5979,2319,16895,9518,7377,2141,15836,8605,7231,1374,16117,8813,7304,1509,15309,8542,6767,1775
"계","계","53세",14405,7621,6784,837,14317,8442,5875,2567,13225,7354,5871,1483,17185,9237,7948,1289,16546,8853,7693,1160,15994,8874,7120,1754
"계","계","54세",13144,6950,6194,756,16270,9462,6808,2654,13030,7261,5769,1492,13345,7153,6192,961,17902,9524,8378,1146,16361,9011,7350,1661
"계","계","55세",13590,7334,6256,1078,14750,8593,6157,2436,15065,8417,6648,1769,13015,6986,6029,957,13908,7402,6506,896,17736,9645,8091,1554
"계","계","56세",12346,6452,5894,558,14421,7963,6458,1505,13536,7474,6062,1412,14297,7400,6897,503,13308,6963,6345,618,13672,7509,6163,1346
"계","계","57세",11019,5499,5520,-21,13882,7539,6343,1196,13898,7512,6386,1126,13195,6804,6391,413,14894,7533,7361,172,13488,7366,6122,1244
"계","계","58세",11214,5548,5666,-118,12682,6850,5832,1018,13442,7309,6133,1176,13396,6800,6596,204,13594,6791,6803,-12,14754,7888,6866,1022
"계","계","59세",9916,4686,5230,-544,12621,6903,5718,1185,12221,6415,5806,609,12739,6525,6214,311,14014,7073,6941,132,13286,6866,6420,446
"계","계","60세",10291,6069,4222,1847,12716,8014,4702,3312,14062,8223,5839,2384,13141,7538,5603,1935,13983,7581,6402,1179,14253,8040,6213,1827
"계","계","61세",8694,4653,4041,612,10830,6077,4753,1324,11274,5818,5456,362,12575,6576,5999,577,11902,6049,5853,196,12688,6584,6104,480
"계","계","62세",7332,3917,3415,502,9642,5281,4361,920,10129,5215,4914,301,10687,5457,5230,227,11817,5890,5927,-37,11374,5800,5574,226
"계","계","63세",7224,3832,3392,440,8168,4459,3709,750,8988,4466,4522,-56,9547,4872,4675,197,10116,4970,5146,-176,11016,5417,5599,-182
"계","계","64세",6832,3360,3472,-112,7510,3955,3555,400,7430,3735,3695,40,8349,4139,4210,-71,8669,4237,4432,-195,9268,4615,4653,-38
"계","계","65세",5866,2846,3020,-174,6648,3374,3274,100,7131,3646,3485,161,7000,3494,3506,-12,7761,3762,3999,-237,8591,4256,4335,-79
"계","계","66세",5326,2628,2698,-70,5380,2758,2622,136,6403,3160,3243,-83,6928,3548,3380,168,6554,3196,3358,-162,7504,3724,3780,-56
"계","계","67세",4012,2032,1980,52,4912,2480,2432,48,5130,2629,2501,128,6036,3080,2956,124,6153,3067,3086,-19,6063,3089,2974,115
"계","계","68세",3414,1716,1698,18,3820,1934,1886,48,4764,2525,2239,286,4811,2429,2382,47,5260,2676,2584,92,5631,2830,2801,29
"계","계","69세",3064,1564,1500,64,3256,1697,1559,138,3675,1925,1750,175,4559,2410,2149,261,4377,2231,2146,85,4873,2489,2384,105
"계","계","70세",2946,1503,1443,60,2954,1625,1329,296,3070,1606,1464,142,3395,1769,1626,143,4061,2074,1987,87,4004,2121,1883,238
"계","계","71세",2724,1441,1283,158,2765,1517,1248,269,2828,1533,1295,238,2955,1542,1413,129,3093,1623,1470,153,3644,1879,1765,114
"계","계","72세",2445,1253,1192,61,2540,1440,1100,340,2778,1515,1263,252,2550,1401,1149,252,2619,1359,1260,99,2837,1514,1323,191
"계","계","73세",2156,1136,1020,116,2306,1289,1017,272,2485,1389,1096,293,2542,1364,1178,186,2324,1229,1095,134,2370,1297,1073,224
"계","계","74세",1884,976,908,68,2009,1186,823,363,2194,1204,990,214,2368,1308,1060,248,2216,1160,1056,104,2273,1278,995,283
"계","계","75세",1614,847,767,80,1851,1033,818,215,1972,1086,886,200,2012,1106,906,200,2186,1137,1049,88,2094,1115,979,136
"계","계","76세",1395,729,666,63,1619,936,683,253,1759,1007,752,255,1831,1001,830,171,1790,971,819,152,1954,1115,839,276
"계","계","77세",1292,698,594,104,1382,803,579,224,1554,877,677,200,1694,965,729,236,1676,870,806,64,1644,909,735,174
"계","계","78세",1062,556,506,50,1252,721,531,190,1301,742,559,183,1455,783,672,111,1471,802,669,133,1432,801,631,170
"계","계","79세",915,476,439,37,1090,637,453,184,1144,639,505,134,1261,693,568,125,1315,710,605,105,1382,795,587,208
"계","계","80세",805,452,353,99,868,489,379,110,921,523,398,125,1034,581,453,128,1041,581,460,121,1130,608,522,86
"계","계","81세",614,332,282,50,686,383,303,80,800,445,355,90,910,519,391,128,888,491,397,94,860,493,367,126
"계","계","82세",471,254,217,37,528,297,231,66,645,374,271,103,713,372,341,31,735,408,327,81,798,457,341,116
"계","계","83세",513,283,230,53,480,294,186,108,508,279,229,50,530,297,233,64,584,333,251,82,635,344,291,53
"계","계","84세",341,182,159,23,388,233,155,78,418,231,187,44,447,226,221,5,445,236,209,27,487,269,218,51
"계","계","85세이상",1146,640,506,134,1247,723,524,199,1367,792,575,217,1482,825,657,168,1503,812,691,121,1474,801,673,128
"계","계","미상",1,1,0,1,3,2,1,1,2,1,1,0,6,4,2,2,4,2,2,0,2,1,1,0
"계","남자","계",701830,375456,326374,49082,710384,399022,311362,87660,695486,365579,329907,35672,720174,382284,337890,44394,751523,407310,344213,63097,782856,432748,350108,82640
"계","남자","0세",7555,3122,4433,-1311,7184,2961,4223,-1262,7368,2932,4436,-1504,7036,2744,4292,-1548,6726,2637,4089,-1452,6615,2588,4027,-1439
"계","남자","1세",5818,2760,3058,-298,6058,2837,3221,-384,5809,2627,3182,-555,5878,2743,3135,-392,5776,2555,3221,-666,5776,2664,3112,-448
"계","남자","2세",4854,2291,2563,-272,5079,2384,2695,-311,5178,2526,2652,-126,4865,2321,2544,-223,4696,2239,2457,-218,4804,2335,2469,-134
"계","남자","3세",4152,2033,2119,-86,4443,2166,2277,-111,4491,2086,2405,-319,4584,2166,2418,-252,4250,1929,2321,-392,4287,2014,2273,-259
"계","남자","4세",3930,1838,2092,-254,3914,1863,2051,-188,3940,1799,2141,-342,4229,1923,2306,-383,4088,1764,2324,-560,4044,1895,2149,-254
"계","남자","5세",3822,1789,2033,-244,3628,1688,1940,-252,3587,1623,1964,-341,3849,1705,2144,-439,3875,1662,2213,-551,4191,1875,2316,-441
"계","남자","6세",3166,1489,1677,-188,3322,1587,1735,-148,3223,1456,1767,-311,3309,1495,1814,-319,3451,1485,1966,-481,3701,1705,1996,-291
"계","남자","7세",2645,1237,1408,-171,2852,1339,1513,-174,2818,1263,1555,-292,2928,1385,1543,-158,2775,1246,1529,-283,3072,1414,1658,-244
"계","남자","8세",2719,1334,1385,-51,2694,1260,1434,-174,2730,1254,1476,-222,3018,1430,1588,-158,2944,1325,1619,-294,2985,1444,1541,-97
